two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
3.98208,0.02307307,-0.0,-0.0,0.363857,0.13283363,-0.0,-0.0,0.3429977
4.00016,0.025775392,-0.0,-0.0,0.43437678,0.13268271,-0.0,-0.0,0.34961927
4.01824,0.026201345,-0.0,-0.0,0.5119232,0.13233823,-0.0,-0.0,0.32724354
4.03632,0.026294168,-0.0,-0.0,0.5237195,0.13338901,-0.0,-0.0,0.3064948
4.0544,0.02522589,-0.0,-0.0,0.50283664,0.13512386,-0.0,-0.0,0.2869407
4.07248,0.02434412,-0.0,-0.0,0.46520847,0.13749595,-0.0,-0.0,0.29445156
4.09056,0.024088198,-0.0,-0.0,0.44009107,0.1394874,-0.0,-0.0,0.3124076
4.10864,0.023939611,-0.0,-0.0,0.44545305,0.14113222,-0.0,-0.0,0.33627135
4.12672,0.024794182,-0.0,-0.0,0.48137578,0.14204259,-0.0,-0.0,0.3563521
4.1448,0.025307676,-0.0,-0.0,0.5411905,0.14277308,-0.0,-0.0,0.34817427
4.16288,0.026353905,-0.0,-0.0,0.60498047,0.14360389,-0.0,-0.0,0.32484797
4.18096,0.026832428,-0.0,-0.0,0.65299356,0.14500895,-0.0,-0.0,0.28212056
4.19904,0.029065272,-0.0,-0.0,0.67394316,0.14746268,-0.0,-0.0,0.24893555
4.21712,0.030651072,-0.0,-0.0,0.67850304,0.15071364,-0.0,4.6344167e-06,0.23286736
4.2352,0.032317653,-0.0,-0.0,0.65724945,0.15517464,-0.0,-0.0,0.24390192
4.25328,0.032650203,-0.0,-0.0,0.61322755,0.1604032,-0.0,5.1715697e-06,0.2907827
4.27136,0.031527527,-0.0,-0.0,0.58317107,0.16610938,-0.0,-0.0,0.37104577
4.28944,0.030973269,-0.0,-0.0,0.5420868,0.17107053,-0.0,-0.0,0.46392086
4.30752,0.028266143,-0.0,-0.0,0.5524886,0.17505306,-0.0,-0.0,0.5690707
4.3256,0.031437136,0.0010744316,-0.0,0.5882791,0.17893077,-0.0,-0.0,0.64863175
4.34368,0.033965774,0.0020084411,-0.0,0.6518535,0.18222027,-0.0,-0.0,0.69610626
4.36176,0.04038607,0.0016441613,-0.0,0.71972185,0.18854095,-0.0,-0.0,0.7087724
4.37984,0.042594813,0.001506017,-0.0,0.7441094,0.19593063,-0.0,-0.0,0.67481476
4.39792,0.040485658,0.0003173603,-0.0,0.74011976,0.2046311,-0.0,-0.0,0.6493334
4.416,0.03031945,0.0003521055,-0.0,0.6899706,0.21191803,-0.0,-0.0,0.61734647
4.43408,0.01905497,0.0021390996,-0.0,0.60863835,0.21586409,-0.0,-0.0,0.6111684
4.45216,0.005250567,0.006202179,-0.0,0.5119261,0.21648295,-0.0,-0.0,0.61564237
4.47024,-0.0,0.010318609,-0.0,0.4030027,0.21397978,-0.0,-0.0,0.62721795
4.48832,-0.0,0.01412599,-0.0,0.31502426,0.20987836,-0.0,-0.0,0.63593996
4.5064,8.743312e-06,0.0135292215,-0.0,0.24184921,0.20549351,-0.0,-0.0,0.63283277
4.52448,0.00029730736,0.013057343,-0.0,0.20586202,0.20256364,-0.0,-0.0,0.62579346
4.54256,0.0045107855,0.013255887,-0.0,0.19274196,0.20162182,-0.0,-0.0,0.6058784
4.56064,0.008488443,0.012133544,-0.0,0.1962411,0.2018544,-0.0,-0.0,0.58982724
4.57872,0.015587779,0.010525154,-0.0,0.21717314,0.20467483,-0.0,-0.0,0.58048785
4.5968,0.028150966,0.00835708,-0.0,0.26325187,0.20887063,-0.0,-0.0,0.56539536
4.61488,0.03994491,0.0055358815,-0.0,0.33903876,0.21395762,-0.0,-0.0,0.5370322
4.63296,0.05197142,1.7215356e-05,-0.0,0.47806132,0.22115614,-0.0,-0.0,0.49591395
4.65104,0.06337869,-0.0,-0.0,0.6720865,0.22763489,-0.0,-0.0,0.40094545
4.66912,0.07395512,-0.0,-0.0,0.9036906,0.2328186,-0.0,0.40020132,0.2816614
4.6872,0.08535173,-0.0,-0.0,1.0983609,0.23700409,-0.0,0.53333473,0.14133964
4.70528,0.09801779,-0.0,-0.0,1.1973164,0.24147515,-0.0,0.1662369,0.033698373
4.72336,0.10165493,-0.0,-0.0,1.2073438,0.24613473,-0.0,-0.0,0.00028869425
4.74144,0.107704625,-0.0,-0.0,1.1410414,0.25267094,-0.0,-0.0,0.0005099922
4.75952,0.11011992,-0.0,-0.0,1.0283353,0.25885358,-0.0,-0.0,0.036860187
4.7776,0.10461405,-0.0,-0.0,0.83272624,0.2640674,-0.0,-0.0,0.1341101
4.79568,0.09161086,-0.0,-0.0,0.70411813,0.26963106,-0.0,-0.0,0.2634985
4.81376,0.0787597,-0.0,-0.0,0.63223225,0.2735605,-0.0,-0.0,0.33123174
4.83184,0.06287905,-0.0,-0.0,0.65066594,0.27639514,-0.0,-0.0,0.36509284
4.84992,0.05325783,-0.0,-0.0,0.73148274,0.27776915,-0.0,7.554258e-06,0.34132573
4.868,0.046218358,-0.0,-0.0,0.88895404,0.27675268,-0.0,0.3404654,0.27911463
4.88608,0.043958545,-0.0,-0.0,1.0766838,0.2747552,-0.0,0.90972435,0.18947038
4.90416,0.04748098,0.00040348872,-0.0,1.2664392,0.27202109,-0.0,1.3917949,0.09718157
4.92224,0.055352926,1.1189616e-05,-0.0,1.3912858,0.2684618,-0.0,1.642207,0.016334314
4.94032,0.057596095,-0.0,-0.0,1.4927131,0.26446605,-0.0,1.6455753,-0.0
4.9584,0.057386287,-0.0,-0.0,1.5525074,0.26285923,-0.0,1.3783698,-0.0
4.97648,0.059773374,-0.0,-0.0,1.5793921,0.264598,-0.0,0.8380819,-0.0
4.99456,0.06520758,-0.0,-0.0,1.5747838,0.27063283,-0.0,0.1664219,-0.0
5.01264,0.09008236,-0.0,-0.0,1.5217304,0.28285047,-0.0,-0.0,0.00014137887
5.03072,0.11023297,-0.0,-0.0,1.4287492,0.30339223,-0.0,-0.0,0.048057813
5.0488,0.14259487,-0.0,-0.0,1.3022945,0.3391964,-0.0,-0.0,0.16264012
5.06688,0.14761175,-0.0,-0.0,1.2483002,0.3809321,-0.0,-0.0,0.29959556
5.08496,0.15363231,-0.0,-0.0,1.3257473,0.42253268,-0.0,-0.0,0.42445794
5.10304,0.11304382,-0.0,-0.0,1.5038829,0.44672287,-0.0,0.05204164,0.5131293
5.12112,0.053070813,-0.0,-0.0,1.7735507,0.457169,-0.0,0.36826962,0.6158136
5.1392,-0.0,0.020964697,-0.0,2.0075798,0.44913512,-0.0,0.40215653,0.64489734
5.15728,-0.0,0.04155516,-0.0,2.1210327,0.42721498,-0.0,0.17776833,0.63115394
5.17536,-0.0,0.045396104,-0.0,2.0603268,0.3956303,-0.0,-0.0,0.6059553
5.19344,-0.0,0.034597825,-0.0,1.8823636,0.3674807,-0.0,2.3272518e-05,0.62867975
5.21152,-0.0,0.035382103,-0.0,1.6300968,0.34596607,-0.0,-0.0,0.66701794
5.2296,-0.0,0.033293463,-0.0,1.2664474,0.33060727,-0.0,-0.0,0.72995853
5.24768,-0.0,0.034458064,-0.0,0.96133316,0.32181838,-0.0,-0.0,0.8459483
5.26576,0.003762555,0.032725982,-0.0,0.7350112,0.3187228,-0.0,8.65996e-06,0.878439
5.28384,0.016863007,0.033277504,-0.0,0.60593057,0.31834042,-0.0,-0.0,0.86949337
5.30192,0.025956368,0.02719345,-0.0,0.55596346,0.3191767,-0.0,-0.0,0.7957218
5.32,0.03741929,0.019793518,-0.0,0.54837203,0.32135606,-0.0,-0.0,0.709851
5.33808,0.046652537,0.016018163,-0.0,0.5721361,0.32464325,-0.0,-0.0,0.63495463
5.35616,0.05465784,0.008936329,-0.0,0.58742434,0.32932392,-0.0,-0.0,0.5719123
5.37424,0.058657024,0.0065983646,-0.0,0.5923631,0.33500746,-0.0,-0.0,0.5367819
5.39232,0.06163549,0.0033146646,-0.0,0.5750493,0.34186417,-0.0,-0.0,0.5205161
5.4104,0.060533736,0.0029941914,-0.0,0.5238701,0.3482333,-0.0,-0.0,0.5188083
5.42848,0.05872305,0.0036459574,-0.0,0.47637615,0.35476443,-0.0,-0.0,0.5352145
5.44656,0.055724032,0.005646851,-0.0,0.4071657,0.36077914,-0.0,-0.0,0.55210346
5.46464,0.05358918,0.0080952,-0.0,0.34930697,0.36638367,-0.0,-0.0,0.5782737
5.48272,0.052800987,0.010686569,-0.0,0.3013586,0.37168095,-0.0,-0.0,0.59877235
5.5008,0.0523099,0.012541813,-0.0,0.26986068,0.37636173,-0.0,-0.0,0.61336577
5.51888,0.05314844,0.0140590975,-0.0,0.2602444,0.38109073,-0.0,-0.0,0.619421
5.53696,0.05359613,0.014993321,-0.0,0.25559804,0.38540608,-0.0,-0.0,0.6159161
5.55504,0.055028055,0.015199566,-0.0,0.257008,0.39000645,-0.0,-0.0,0.6085152
5.57312,0.054860268,0.014734277,-0.0,0.2594037,0.39430314,-0.0,-0.0,0.5961336
5.5912,0.054545984,0.014465862,-0.0,0.2707075,0.39888978,-0.0,-0.0,0.5812534
5.60928,0.054814808,0.014334106,-0.0,0.28767097,0.40368268,-0.0,-0.0,0.5579328
5.62736,0.054170165,0.014155084,-0.0,0.30832368,0.4080455,-0.0,-0.0,0.5321093
5.64544,0.055087827,0.014434342,-0.0,0.32771215,0.41294578,-0.0,-0.0,0.5065415
5.66352,0.05471045,0.014862157,-0.0,0.33543536,0.41801244,-0.0,-0.0,0.4828919
5.6816,0.054916266,0.014813862,-0.0,0.32735103,0.4236245,-0.0,-0.0,0.4708253
5.69968,0.05281813,0.015937386,-0.0,0.302683,0.42934176,-0.0,-0.0,0.46775
5.71776,0.051794734,0.016862568,-0.0,0.26595435,0.43572262,-0.0,-0.0,0.4754478
5.73584,0.049404062,0.018703882,-0.0,0.2237549,0.4416328,-0.0,-0.0,0.48533943
5.75392,0.047112547,0.02061072,-0.0,0.18987069,0.4478552,-0.0,-0.0,0.49878109
5.772,0.04861831,0.02219912,-0.0,0.16690923,0.45380595,-0.0,-0.0,0.50385475
5.79008,0.046745025,0.022942433,-0.0,0.1551213,0.4578535,-0.0,-0.0,0.50068295
5.80816,0.051287327,0.024275223,-0.0,0.16027884,0.46350527,-0.0,-0.0,0.49666578
5.82624,0.053246886,0.024475897,-0.0,0.17430356,0.4679676,-0.0,-0.0,0.47882548
5.84432,0.061378013,0.022824716,-0.0,0.20268485,0.4725055,-0.0,-0.0,0.45975128
5.8624,0.067441694,0.022933766,-0.0,0.23768412,0.47638556,-0.0,-0.0,0.43363872
